"WY","Month","Region","Secchi","SampleSize_secchi"
1988,3,"West",31.9666666666667,30
1988,4,"North",61.7460311594463,126
1988,4,"South",76.695652173913,23
1988,4,"West",39.7044025029776,159
1988,5,"North",65.4142013414372,169
1988,5,"South",55.0833333333333,24
1988,5,"West",38.6443597171776,523
1988,6,"North",74.9020974285953,143
1988,6,"South",39.6,35
1988,6,"West",37.8950817076886,305
1988,7,"North",50.4444444444444,9
1988,7,"South",46.4565217391304,46
1988,7,"West",37.9450545782571,182
1988,8,"North",60,7
1988,8,"South",50.7428571428571,35
1988,8,"West",33,53
1988,9,"North",65.75,12
1988,9,"South",68.1219512195122,41
1988,9,"West",38.0416666666667,72
1988,10,"North",68.3333333333333,12
1988,10,"South",81.6585365853659,41
1988,10,"West",48.5588235294118,68
1988,11,"North",79,12
1988,11,"South",88.8181818181818,33
1988,11,"West",60.1492537313433,67
1988,12,"North",51.2222222222222,9
1988,12,"South",64.8461538461538,26
1988,12,"West",51.4918032786885,61
1989,1,"North",56.6666666666667,3
1989,1,"South",72,10
1989,1,"West",35.7142857142857,14
1989,2,"North",78,3
1989,2,"South",103.166666666667,12
1989,2,"West",41.0384615384615,26
1989,3,"North",26.6666666666667,3
1989,3,"South",62.6666666666667,12
1989,3,"West",31.7241379310345,29
1989,4,"North",72.3623187369195,69
1989,4,"South",72.5294117647059,17
1989,4,"West",30.0913462564349,208
1989,5,"North",75.5499998768171,180
1989,5,"South",54.125,24
1989,5,"West",30.3569234400529,325
1989,6,"North",76.1441448099978,111
1989,6,"South",41.6857142857143,35
1989,6,"West",33.4660768129129,339
1989,7,"North",59,7
1989,7,"South",52.7428571428571,35
1989,7,"West",32.7027027027027,37
1989,8,"North",74.3333333333333,6
1989,8,"South",60.3333333333333,24
1989,8,"West",30.9189189189189,37
1989,9,"North",54.5833333333333,12
1989,9,"South",70.9512195121951,41
1989,9,"West",36.4461538461538,65
1989,10,"North",67.8333333333333,12
1989,10,"South",80.0731707317073,41
1989,10,"West",37.0294117647059,68
1989,11,"North",71.6666666666667,9
1989,11,"South",92.3571428571429,28
1989,11,"West",48.5409836065574,61
1989,12,"North",53.125,8
1989,12,"South",85.9090909090909,11
1989,12,"West",45,56
1990,1,"North",22.6666666666667,3
1990,1,"South",78,12
1990,1,"West",35.1034482758621,29
1990,2,"North",63.9324329600141,74
1990,2,"South",62.6363636363636,11
1990,2,"West",31.56,25
1990,3,"North",79.1785716201578,56
1990,3,"South",89.8333333333333,12
1990,3,"West",31.5806451612903,31
1990,4,"North",70.6666666666667,6
1990,4,"South",84.875,24
1990,4,"West",35.6507178579221,209
1990,5,"North",70.6666666666667,6
1990,5,"South",53.6521739130435,23
1990,5,"West",37.5448506983412,301
1990,6,"North",64.125,8
1990,6,"South",56.6285714285714,35
1990,6,"West",35.7663550271052,214
1990,7,"North",66.4444444444444,9
1990,7,"South",64.5,46
1990,7,"West",32.4927536231884,69
1990,8,"North",62.6666666666667,6
1990,8,"South",66.3333333333333,24
1990,8,"West",28.3684210526316,38
1990,9,"North",60.2666666666667,15
1990,9,"South",75.325,40
1990,9,"West",42.1764705882353,68
1990,10,"North",66.4166666666667,12
1990,10,"South",74.3658536585366,41
1990,10,"West",54.1428571428571,49
1990,11,"North",65.4444444444444,9
1990,11,"South",84.8214285714286,28
1990,11,"West",54.8636363636364,44
1990,12,"North",81.1111111111111,9
1990,12,"South",108.925925925926,27
1990,12,"West",59.52,50
1991,1,"North",94.15,20
1991,1,"South",100.714285714286,35
1991,1,"West",58.3538461538462,65
