"WY","Month","Count_Sal","Sal_surf_mean","Sal_surf_sd","Date_median_sal","Sal_min","Sal_max","Survey_mostcommon_sal"
2007,12,2,8.14511013031006,0.165479991196565,2006-12-13,8.02809810638428,8.26212215423584,"FMWT"
2008,1,134,0.283041429942224,0.587917048217856,2008-01-08,0.0653685927391052,4.30355787277222,"SKT"
2008,2,37,0.14679559078571,0.0577006903791593,2008-02-04,0.0802186504006386,0.419004946947098,"SKT"
2008,3,67,0.381463992729116,0.443665035716215,2008-03-10,0.127864077687263,1.94448566436768,"SKT"
2008,4,49,0.249212362328354,0.364884712136914,2008-04-22,0.130282327532768,2.735347032547,"SKT"
2008,11,8,3.7681135982275,4.79495405381065,2007-11-15,0.681238353252411,12.1810369491577,"Bay Study"
2008,12,28,2.55886131099292,2.66597030952304,2007-12-12,0.428154289722443,8.44777488708496,"Bay Study"
2009,1,584,1.44154875654064,2.72814825645019,2009-01-14,0.219159737229347,9.39432716369629,"SKT"
2009,2,61,2.99615383856609,2.07898880924807,2009-02-13,0.248311296105385,6.04040336608887,"SKT"
2009,3,70,0.111293330895049,0.271048111501456,2009-03-18,0.0221936237066984,1.53730225563049,"SKT"
2009,4,31,0.210215027774534,0.0402087266184753,2009-04-15,0.1336699873209,0.238906517624855,"SKT"
2009,11,12,2.04096527397633,3.29937873041027,2008-11-07,0.201941817998886,9.01457500457764,"FMWT"
2009,12,4,3.2079783976078,1.1463777586959,2008-12-16,1.61424219608307,4.34798526763916,"FMWT"
2010,1,316,0.87211498563897,1.90538612677402,2010-01-27,0.0816568657755852,11.5018720626831,"SKT"
2010,2,57,1.0095830838147,0.599319791443648,2010-02-11,0.101823873817921,1.42892909049988,"SKT"
2010,3,84,0.236720327110518,0.138805923390515,2010-03-10,0.10952527821064,1.03429234027863,"SKT"
2010,4,189,0.265334784353852,0.0661138939202657,2010-04-22,0.113380342721939,0.965981841087341,"SKT"
2010,11,4,2.75399935245514,2.15902100294915,2009-11-10,1.45569944381714,5.95516347885132,"FMWT"
2010,12,11,7.53314124454151,2.15902677920198,2009-12-07,2.39126563072205,11.2047348022461,"FMWT"
2011,1,180,0.28410137804846,0.253616836842482,2011-01-12,0.0720729678869247,1.9584287405014,"SKT"
2011,2,130,0.782505169625466,0.48906333280368,2011-02-10,0.101823873817921,1.45897960662842,"SKT"
2011,3,58,0.426910954366984,0.292429821740999,2011-03-10,0.0572290979325771,0.819711625576019,"SKT"
2011,4,65,0.276257966229549,0.0916614858240163,2011-04-06,0.0581867210566998,0.325093805789948,"SKT"
2011,11,2,2.08020633459091,1.11192565955344,2010-11-01,1.29395616054535,2.86645650863647,"Bay Study"
2011,12,25,3.38878138244152,3.00268828471621,2010-12-06,0.0715939924120903,9.26124477386475,"FMWT"
2012,1,325,3.18975358875898,3.36731464905414,2012-01-19,0.103267028927803,9.69282627105713,"SKT"
2012,2,302,1.52023404269226,1.72344972863283,2012-02-15,0.0816568657755852,15.6783142089844,"SKT"
2012,3,347,0.524059346627433,1.06052111833533,2012-03-08,0.0931728333234787,7.42780208587646,"SKT"
2012,4,212,0.573534918843575,0.530646380263361,2012-04-05,0.0596231147646904,1.8037828207016,"SKT"
2012,11,54,3.73736487384196,3.01242669792791,2011-11-16,0.174027159810066,8.9514274597168,"FMWT"
2012,12,218,1.63998112137165,2.67996694502538,2011-12-12,0.0994194746017456,16.9107837677002,"FMWT"
2013,1,108,0.543222417641017,0.536135819497805,2013-01-09,0.0907720252871513,2.3573317527771,"SKT"
2013,2,132,0.851781701781985,0.854859464480418,2013-02-06,0.107117362320423,2.44506597518921,"SKT"
2013,3,83,1.05558774485646,1.35842460719375,2013-03-06,0.118203401565552,3.81444621086121,"SKT"
2013,4,28,0.234972498246602,0.146060662460631,2013-04-04,0.113380342721939,0.645300924777985,"SKT"
2013,11,30,1.13364638239145,0.658279019900035,2012-11-01,0.172074243426323,2.43259930610657,"Bay Study"
2013,12,20,1.46982475779951,1.27939056062303,2012-12-06,0.0970161184668541,4.42211294174194,"FMWT"
2014,1,151,4.95714942721144,2.45151536120794,2014-01-16,0.109043605625629,13.0211725234985,"SKT"
2014,2,65,2.05676530943467,1.32851558011932,2014-02-13,0.0960550606250763,4.82712411880493,"SKT"
2014,3,91,0.290571745689754,0.158226828615495,2014-03-12,0.0994194746017456,0.97237366437912,"SKT"
2014,4,36,0.420696829135219,0.975638246290317,2014-04-08,0.101342909038067,6.07087135314941,"SKT"
2014,11,10,3.66892910599709,4.22988699097076,2013-11-06,0.277614384889603,11.5212774276733,"Bay Study"
2014,12,23,6.76484097734742,4.73956245123287,2013-12-03,0.326097100973129,11.9126644134521,"Bay Study"
2015,1,19,0.85980517181911,0.850753741981406,2015-01-14,0.101342909038067,2.74277758598328,"SKT"
2015,2,70,1.26286908462644,1.62606267978526,2015-02-11,0.109043605625629,4.15573787689209,"SKT"
2015,3,5,0.516766026616096,0.757035353276229,2015-03-11,0.165732830762863,1.87042760848999,"SKT"
2015,4,1,0.204889371991158,NA,2015-04-08,0.204889371991158,0.204889371991158,"SKT"
2015,12,61,0.62451695834027,1.32151157078886,2014-12-10,0.0773429498076439,8.44275283813477,"SKT"
2016,1,8,0.866473929956555,1.19509039327763,2016-01-13,0.0917322337627411,3.45229339599609,"SKT"
2016,2,6,0.533161738266548,0.590208627744049,2016-02-10,0.114344574511051,1.29341375827789,"SKT"
2016,3,7,0.645662720714297,1.09448327885114,2016-03-09,0.231986925005913,3.1277174949646,"SKT"
2016,4,13,0.298062115907669,0,2016-04-04,0.298062115907669,0.298062115907669,"SKT"
2016,12,9,7.34531378083759,4.71717770416471,2015-12-15,0.685412108898163,12.3359651565552,"Suisun"
2017,1,20,0.157304358482361,0.197902380352184,2017-01-11,0.0433354303240776,0.816021084785461,"SKT"
2017,2,9,0.188277872072326,0.0702389101116006,2017-02-08,0.0739890411496162,0.246825277805328,"SKT"
2017,3,9,0.127468524293767,0.100168499415858,2017-03-08,0.0605806894600391,0.390100687742233,"SKT"
2017,4,4,0.345187842845917,0,2017-04-05,0.345187842845917,0.345187842845917,"SKT"
2017,11,9,2.01958440409766,0.53388799140327,2016-11-07,0.875186443328857,2.56828212738037,"FMWT"
2017,12,218,0.296300633579766,1.06978626315658,2016-12-08,0.0955745875835419,7.96563005447388,"SKT"
2018,1,10,0.705675208568573,1.03472030697276,2018-01-10,0.378467917442322,3.65054082870483,"SKT"
2018,2,4,1.23113644123077,0.0156090762913291,2018-02-08,1.21761858463287,1.24465429782867,"SKT"
2018,3,1,0.134154140949249,NA,2018-03-07,0.134154140949249,0.134154140949249,"SKT"
2018,12,6,1.93725009759267,2.6181755227244,2017-12-13,0.564474642276764,7.25672626495361,"SKT"
2019,1,1,0.0898119583725929,NA,2019-01-24,0.0898119583725929,0.0898119583725929,"SKT"
2019,2,1,0.0653685927391052,NA,2019-02-20,0.0653685927391052,0.0653685927391052,"SKT"
2019,12,5,2.38668327331543,0.880218792635005,2018-12-12,1.9930374622345,3.96126651763916,"SKT"
2020,1,4,0.699152335524559,0.35362151337077,2020-01-15,0.374425917863846,1.0487380027771,"EDSM"
2020,2,3,2.75495436787605,4.48577915759273,2020-02-12,0.119168594479561,7.93441295623779,"EDSM"
2020,3,2,0.239416182041168,0.0443792827828191,2020-03-10,0.208035290241241,0.270797073841095,"EDSM"
2020,11,3,2.55655766526858,2.00229122634911,2019-11-12,0.336138278245926,4.22486543655396,"EDSM"
2020,12,8,1.58203753083944,2.99811257140343,2019-12-18,0.14705117046833,8.60613059997559,"EDSM"
2021,1,1,0.374931037425995,NA,2021-01-06,0.374931037425995,0.374931037425995,"EDSM"
2021,11,1,7.38748025894165,NA,2020-11-09,7.38748025894165,7.38748025894165,"EDSM"
