"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count","FirstFlush_firstDate","FirstFlush_medianDate","FirstFlushOccurred","Year","SAC","SJR","TOT","YOLO","EXPORTS","OUT","X2","mean_OMR","DateMonth","SAC_1","SJR_1","TOT_1","YOLO_1","EXPORTS_1","OUT_1","X2_1"
1992,11,"1991-11-08",47.7068301569825,7.00237792851307,249,1992-02-14,1992-02-25,"No",1991,6958.33333333333,1084,8387.26666666667,32.8333333333333,3197.1,3909.33333333333,89.5922926143333,-2853.44156137379,1991-11-01,9398.06451612903,788.483870967742,10360.3870967742,40,5381.93548387097,3909.09677419355,90.5544560006452
1992,12,"1991-12-06",50.6258284144819,6.44989416389925,34,1992-02-14,1992-02-25,"No",1991,9259.35483870968,894.774193548387,10384.7741935484,25,3196.51612903226,7622.51612903226,85.53612267,-2821.03225806452,1991-12-01,6958.33333333333,1084,8387.26666666667,32.8333333333333,3197.1,3909.33333333333,89.5922926143333
1993,1,"1993-01-08",56.3371187385479,14.6790818751226,14,1992-12-13,1993-03-01,"Yes",1993,48261.2903225806,4120,64084.9032258065,8694.16129032258,11670.6774193548,57885.8709677419,70.6380760983871,-8014.1935483871,1993-01-01,12440.3225806452,981.516129032258,13836.3225806452,36.1290322580645,4095.41935483871,11602.7419354839,82.8461878083871
1993,2,"1993-02-08",54.2799453815218,21.3206477700379,13,1992-12-13,1993-03-01,"Yes",1993,48596.4285714286,3035.35714285714,61109.9285714286,7181.10714285714,9331.42857142857,55021.6428571429,60.4088443817857,-6473.91966601602,1993-02-01,48261.2903225806,4120,64084.9032258065,8694.16129032258,11670.6774193548,57885.8709677419,70.6380760983871
1993,3,"1993-03-15",76.8964231089673,29.6204781468267,59,1992-12-13,1993-03-01,"Yes",1993,49338.7096774194,2702.25806451613,67710.9032258065,13016.6129032258,6036.77419354839,63968.6129032258,58.3827172993548,-3668.1935483871,1993-03-01,48596.4285714286,3035.35714285714,61109.9285714286,7181.10714285714,9331.42857142857,55021.6428571429,60.4088443817857
1993,4,"1993-04-16",72.8531491528925,24.1721490847889,109,1992-12-13,1993-03-01,"Yes",1993,43213.3333333333,3420.66666666667,51317.9333333333,2583.76666666667,5757.36666666667,44295.9333333333,56.777360703,-3201.52333333333,1993-04-01,49338.7096774194,2702.25806451613,67710.9032258065,13016.6129032258,6036.77419354839,63968.6129032258,58.3827172993548
1993,11,"1992-11-06",49.3157747228273,4.05104216887782,51,1992-12-13,1993-03-01,"No",1992,6380,955.666666666667,7592.96666666667,24.9333333333333,2476.56666666667,4125.83333333333,87.7091545706667,-2261.23333333333,1992-11-01,6645.16129032258,848.677419354839,7712.38709677419,29.5161290322581,1928.22580645161,4350.48387096774,89.1637005645161
1993,12,"1992-12-11",53.9345912083526,10.1698587900005,25,1992-12-13,1993-03-01,"No",1992,12440.3225806452,981.516129032258,13836.3225806452,36.1290322580645,4095.41935483871,11602.7419354839,82.8461878083871,-3424.53870967742,1992-12-01,6380,955.666666666667,7592.96666666667,24.9333333333333,2476.56666666667,4125.83333333333,87.7091545706667
1994,1,"1994-01-19",55.0181941646272,3.68320790513084,994,1993-12-13,1994-01-14,"Yes",1994,14190.3225806452,1772.90322580645,16317.4193548387,25,5910.93548387097,10787.1612903226,77.1572476141936,-3888.17988486372,1994-01-01,20341.935483871,1628.06451612903,22454.8064516129,25,10576.4193548387,12360.8387096774,78.4173534177419
1994,2,"1994-02-14",55.2713056585986,4.72904691081945,875,1993-12-13,1994-01-14,"Yes",1994,20196.4285714286,1987.14285714286,22903.1785714286,224.321428571429,5918.89285714286,20557.0357142857,72.7093377921429,-3836.78295586568,1994-02-01,14190.3225806452,1772.90322580645,16317.4193548387,25,5910.93548387097,10787.1612903226,77.1572476141936
