"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count","FirstFlush_firstDate","FirstFlush_medianDate","FirstFlushOccurred","Year","SAC","SJR","TOT","YOLO","EXPORTS","OUT","X2","mean_OMR","DateMonth","SAC_1","SJR_1","TOT_1","YOLO_1","EXPORTS_1","OUT_1","X2_1"
1989,2,"1989-02-08",47.0592862314831,10.9323603531348,2,1989-03-05,1989-03-23,"No",1989,12057.1428571429,1233.92857142857,13511.3214285714,16.0714285714286,8227.96428571429,6378.53571428571,94.9332723971429,-6266.67857142857,1989-02-01,12825.1612903226,1255.16129032258,14236.2580645161,25,10225.3548387097,3653.22580645161,90.1293266541935
1989,3,"1989-03-08",54.0000564751715,5.80833624348879,5,1989-03-05,1989-03-23,"Yes",1989,43374.1935483871,2023.22580645161,47293.1935483871,427.129032258065,10283.9032258065,38928.3225806452,75.36035854,-7497.74193548387,1989-03-01,12057.1428571429,1233.92857142857,13511.3214285714,16.0714285714286,8227.96428571429,6378.53571428571,94.9332723971429
1989,4,"1989-04-19",53.3913012744536,0.118746961837515,14,1989-03-05,1989-03-23,"Yes",1989,21273.3333333333,1915.33333333333,23897.8333333333,45.8333333333333,10568.4,11686.5,70.368483048,-8511.08148297871,1989-04-01,43374.1935483871,2023.22580645161,47293.1935483871,427.129032258065,10283.9032258065,38928.3225806452,75.36035854
1989,11,"1988-11-15",44.7368011296617,3.0236646883129,22,1989-03-05,1989-03-23,"No",1988,11355.6666666667,1274.33333333333,12738.5333333333,24.9666666666667,6128.13333333333,6619.3,89.2359634173333,-5101.09574649139,1988-11-01,9314.1935483871,1126.58064516129,10518.8387096774,20.0322580645161,5716.06451612903,3141.64516129032,93.5275098680645
1989,12,"1988-12-13",46.7517321255646,3.57126539956361,19,1989-03-05,1989-03-23,"No",1988,12387.7419354839,1371.93548387097,13886.3548387097,25,7211.74193548387,7230.93548387097,86.0549456187097,-4570.14028252271,1988-12-01,11355.6666666667,1274.33333333333,12738.5333333333,24.9666666666667,6128.13333333333,6619.3,89.2359634173333
1990,3,"1990-03-05",52.7675118457799,18.4056689908962,3,1990-01-15,1990-01-17,"Yes",1990,12867.7419354839,1760.32258064516,15136.2580645161,25.9032258064516,10651.3548387097,3813.12903225806,87.7814993754839,-8591.73174480692,1990-03-01,13803.5714285714,1365.35714285714,15474.3928571429,20.2857142857143,10580.5357142857,6787.57142857143,84.1999650028571
1990,4,"1990-04-09",53.4155401317248,0.0918730590955093,19,1990-01-15,1990-01-17,"Yes",1990,15271.3333333333,1309.33333333333,16966.6333333333,45.8,9784.86666666667,5922.76666666667,88.640611374,-7825.4143730581,1990-04-01,12867.7419354839,1760.32258064516,15136.2580645161,25.9032258064516,10651.3548387097,3813.12903225806,87.7814993754839
1990,11,"1989-11-13",48.8891044472338,3.19401006257466,136,1990-01-15,1990-01-17,"No",1989,14830,1404.33333333333,16503.4,24.9333333333333,10403.9,5477.8,88.4839194233333,-9460.66666666667,1989-11-01,14274.1935483871,1400.96774193548,15802.4838709677,16.9354838709677,10566.8709677419,4925.8064516129,95.1064947629032
1990,12,"1989-12-11",49.9642092678588,5.47943916285722,39,1990-01-15,1990-01-17,"No",1989,15396.7741935484,1381.29032258065,16944.9677419355,25,10465.1612903226,4399.16129032258,85.3844555545161,-8573.81343893595,1989-12-01,14830,1404.33333333333,16503.4,24.9333333333333,10403.9,5477.8,88.4839194233333
1991,1,"1991-01-09",50.9815381348229,8.31557359003124,156,1991-03-06,1991-03-22,"No",1991,8983.87096774194,816.290322580645,9894.32258064516,25,4952.16129032258,3972.93548387097,86.0875345254839,-3772.30179391967,1991-01-01,10818.3870967742,918.41935483871,11826.3225806452,25,5246.58064516129,6383.45161290323,84.2606827716129
